Date,Open,High,Low,Close,Adj Close,Volume
2021-03-02,3380.350098,3418.110107,3375.479980,3410.100098,3410.100098,0
2021-03-03,3432.879883,3450.760010,3408.469971,3416.040039,3416.040039,0
2021-03-04,3403.010010,3416.040039,3366.760010,3397.560059,3397.560059,0
2021-03-05,3378.679932,3432.979980,3367.330078,3414.129883,3414.129883,0
2021-03-09,3426.479980,3491.120117,3426.330078,3478.719971,3478.719971,0
2021-03-10,3476.909912,3514.350098,3455.419922,3463.060059,3463.060059,0
2021-03-11,3481.260010,3508.510010,3472.399902,3508.510010,3508.510010,0
2021-03-12,3515.439941,3539.500000,3502.370117,3539.500000,3539.500000,0
2021-03-15,3562.689941,3596.310059,3558.620117,3584.489990,3584.489990,0
2021-03-16,3600.679932,3602.179932,3544.290039,3589.830078,3589.830078,0
2021-03-17,3579.060059,3587.239990,3498.169922,3507.909912,3507.909912,0
2021-03-18,3533.689941,3551.300049,3494.989990,3504.850098,3504.850098,0
2021-03-19,3473.840088,3495.979980,3448.989990,3475.260010,3475.260010,0
2021-03-22,3479.060059,3498.169922,3469.090088,3489.070068,3489.070068,0
2021-03-23,3481.110107,3483.340088,3450.979980,3467.209961,3467.209961,0
2021-03-24,3459.989990,3489.959961,3445.919922,3485.330078,3485.330078,0
2021-03-25,3477.870117,3479.830078,3434.840088,3439.300049,3439.300049,0
2021-03-26,3476.010010,3500.739990,3476.010010,3489.830078,3489.830078,0
2021-03-29,3500.409912,3535.209961,3498.620117,3529.330078,3529.330078,0
2021-03-30,3535.719971,3549.090088,3504.060059,3525.229980,3525.229980,0
2021-03-31,3525.560059,3542.000000,3510.399902,3541.719971,3541.719971,0
2021-04-01,3556.280029,3576.790039,3526.219971,3527.540039,3527.540039,0
2021-04-02,null,null,null,null,null,null
2021-04-05,3555.239990,3555.830078,3516.219971,3524.929932,3524.929932,0
2021-04-06,3536.260010,3541.040039,3484.840088,3493.889893,3493.889893,0
2021-04-07,3484.219971,3518.129883,3460.389893,3500.340088,3500.340088,0
2021-04-08,3513.209961,3528.389893,3495.340088,3507.830078,3507.830078,0
2021-04-09,3510.199951,3511.270020,3480.850098,3486.030029,3486.030029,0
2021-04-12,3476.510010,3541.699951,3472.370117,3522.649902,3522.649902,0
2021-04-13,3533.300049,3542.629883,3511.229980,3526.300049,3526.300049,0
2021-04-14,3567.530029,3576.889893,3546.860107,3576.889893,3576.889893,0
2021-04-15,3532.129883,3578.770020,3527.500000,3568.510010,3568.510010,0
2021-04-16,3578.010010,3598.439941,3564.969971,3598.439941,3598.439941,0
2021-04-19,3598.469971,3605.489990,3565.389893,3574.080078,3574.080078,0
2021-04-20,3581.370117,3596.189941,3536.409912,3552.409912,3552.409912,0
2021-04-21,3554.830078,3572.629883,3545.149902,3561.719971,3561.719971,0
2021-04-22,3576.689941,3607.750000,3557.879883,3600.350098,3600.350098,0
2021-04-23,3598.760010,3600.179932,3579.250000,3597.169922,3597.169922,0
2021-04-26,3603.129883,3613.370117,3589.270020,3610.979980,3610.979980,0
2021-04-27,3615.570068,3627.909912,3586.389893,3600.600098,3600.600098,0
2021-04-28,3608.889893,3613.110107,3558.239990,3578.120117,3578.120117,0
2021-04-29,3609.379883,3616.949951,3565.580078,3571.050049,3571.050049,0
2021-04-30,3574.030029,3584.639893,3536.530029,3544.000000,3544.000000,0
2021-05-04,3557.620117,3594.689941,3556.080078,3577.209961,3577.209961,0
2021-05-05,3602.169922,3644.149902,3600.879883,3643.560059,3643.560059,0
2021-05-06,3636.709961,3661.280029,3634.449951,3658.270020,3658.270020,0
2021-05-07,3678.189941,3688.810059,3667.770020,3682.689941,3682.689941,0
2021-05-10,3684.179932,3713.489990,3675.129883,3694.780029,3694.780029,0
2021-05-11,3644.290039,3658.810059,3625.969971,3652.050049,3652.050049,0
2021-05-12,3659.629883,3674.350098,3643.219971,3654.139893,3654.139893,0
2021-05-13,3634.179932,3647.270020,3600.800049,3637.379883,3637.379883,0
2021-05-14,3654.729980,3659.340088,3623.719971,3637.600098,3637.600098,0
2021-05-17,3645.129883,3658.780029,3618.750000,3639.610107,3639.610107,0
2021-05-18,3670.159912,3700.189941,3670.100098,3687.959961,3687.959961,0
2021-05-19,3693.820068,3693.820068,3619.540039,3634.760010,3634.760010,0
2021-05-20,3650.070068,3658.270020,3603.399902,3636.159912,3636.159912,0
2021-05-21,3637.500000,3667.870117,3620.600098,3660.479980,3660.479980,0
2021-05-24,3665.959961,3674.770020,3651.090088,3662.510010,3662.510010,0
2021-05-25,3682.419922,3693.389893,3672.270020,3686.760010,3686.760010,0
2021-05-26,3695.290039,3717.330078,3694.129883,3711.050049,3711.050049,0
2021-05-27,3708.770020,3738.679932,3694.590088,3738.679932,3738.679932,0
2021-05-28,3750.459961,3752.800049,3724.520020,3730.550049,3730.550049,0
2021-05-31,3713.989990,3731.270020,3713.989990,3721.629883,3721.629883,0
2021-06-01,3739.570068,3784.590088,3739.570068,3764.590088,3764.590088,0
2021-06-02,3771.320068,3817.679932,3769.469971,3817.679932,3817.679932,0
2021-06-03,3833.770020,3837.729980,3777.979980,3805.449951,3805.449951,0
2021-06-04,3805.939941,3816.239990,3766.620117,3807.429932,3807.429932,0
2021-06-07,3807.959961,3827.659912,3793.959961,3822.209961,3822.209961,0
2021-06-08,3819.520020,3833.169922,3799.070068,3807.429932,3807.429932,0
2021-06-09,3821.800049,3843.409912,3805.820068,3843.280029,3843.280029,0
2021-06-10,3835.209961,3847.889893,3822.010010,3827.709961,3827.709961,0
2021-06-11,3838.979980,3849.320068,3828.620117,3841.530029,3841.530029,0
2021-06-14,3845.810059,3862.389893,3842.750000,3860.179932,3860.179932,0
2021-06-15,3864.360107,3865.199951,3819.639893,3822.399902,3822.399902,0
2021-06-16,3821.449951,3836.909912,3803.540039,3829.669922,3829.669922,0
2021-06-17,3807.320068,3832.610107,3801.979980,3819.070068,3819.070068,0
2021-06-18,3809.989990,3813.500000,3775.820068,3802.949951,3802.949951,0
2021-06-21,3797.229980,3816.850098,3785.489990,3813.449951,3813.449951,0
